city,latitude,longitude,temperature,humidity,cloudiness,wind,datetime,country
aklavik,68.2191,-135.0107,-31,68,40,3.44,1611948316,CA
urumqi,43.801,87.6005,6.8,85,8,4.47,1611948317,CN
hithadhoo,-0.6,73.0833,81.48,77,66,8.19,1611948318,MV
nantucket,41.2835,-70.0995,15.42,62,90,19.57,1611948023,US
katsuura,35.1333,140.3,35.38,48,0,18.41,1611948320,JP
safaga,26.7292,33.9365,60.8,39,0,10.36,1611948321,EG
ponnani,10.767,75.9252,78.8,69,20,5.84,1611948322,IN
lukovetskiy,64.2956,41.9211,15.8,86,90,11.18,1611948324,RU
victoria,22.2855,114.1577,57.06,73,0,1.01,1611948256,HK
yar-sale,66.8333,70.8333,-41.76,80,15,4.76,1611948326,RU
berlevag,70.8578,29.0864,19.87,73,75,6.91,1611948327,NO
nabire,-3.3667,135.4833,73.8,93,100,2.64,1611948328,ID
seoul,37.5683,126.9778,20.05,54,75,9.22,1611948324,KR
mar del plata,-38.0023,-57.5575,82.4,32,75,12.66,1611948229,AR
aswan,24.0934,32.907,57.15,40,0,9.84,1611948273,EG
marystown,47.1666,-55.1483,28.31,92,72,19.69,1611948333,CA
bambous virieux,-20.3428,57.7575,80.78,78,75,9.22,1611948269,MU
coahuayana,18.7333,-103.6833,86,42,40,6.87,1611948335,MX
new norfolk,-42.7826,147.0587,58.51,84,22,2.42,1611948336,AU
bredasdorp,-34.5322,20.0403,64,82,93,7.02,1611948337,ZA
hay river,60.8156,-115.7999,-5.8,71,1,6.91,1611948083,CA
nouadhibou,20.931,-17.0347,73.4,53,0,12.66,1611948339,MR
dikson,73.5069,80.5464,-33.16,84,92,5.66,1611948291,RU
clyde river,70.4692,-68.5914,-16.6,76,1,14.97,1611948342,CA
general jose eduvigis diaz,-27.1667,-58.4167,78.8,73,75,27.63,1611948343,PY
armidale,-30.5167,151.65,59,95,87,5.59,1611948344,AU
alugan,12.2188,125.4808,77.68,84,100,22.44,1611948190,PH
marawi,7.9986,124.2928,73,94,100,7,1611948324,PH
evensk,61.95,159.2333,-7.04,82,98,11.41,1611948348,RU
torbay,47.6666,-52.7314,26.76,86,75,18.41,1611948349,CA
san carlos de bariloche,-41.1456,-71.3082,73.24,21,0,19.57,1611948350,AR
chuy,-33.6971,-53.4616,79.29,63,5,10.2,1611948351,UY
waipawa,-41.4122,175.5153,56.01,67,90,21.85,1611948188,NZ
klaksvik,62.2266,-6.589,32,69,75,4.61,1611948353,FO
jibuti,11.5,42.5,77,69,75,11.43,1611948155,DJ
saint-augustin,51.226,-58.6502,21.07,90,0,12.12,1611948356,CA
pacific grove,36.6177,-121.9166,52.39,62,40,0.76,1611948250,US
iqaluit,63.7506,-68.5145,-13,70,1,33.38,1611948358,CA
puerto ayora,-0.7393,-90.3518,82.83,70,20,13.8,1611948359,EC
hambantota,6.1241,81.1185,75.2,100,40,2.3,1611948318,LK
carnarvon,-24.8667,113.6333,78.8,89,6,9.22,1611948362,AU
oudtshoorn,-33.5907,22.2014,62.6,82,0,3.44,1611948363,ZA
komsomolskiy,40.4272,71.7189,33.8,47,2,6.91,1611948364,UZ
airai,-8.9266,125.4092,61.9,100,100,4.21,1611948365,TL
sitka,57.0531,-135.33,35.6,55,90,14.97,1611948367,US
muzhi,65.3667,64.6667,-41.55,79,1,2.89,1611948369,RU
evanston,42.0411,-87.6901,31.66,43,20,11.5,1611948270,US
george town,5.4112,100.3354,77.5,78,20,3.44,1611948371,MY
cabo san lucas,22.8909,-109.9124,77.38,64,20,13.8,1611948363,MX
bengkulu,-3.8004,102.2655,75.78,88,100,5.55,1611948373,ID
vallenar,-28.5708,-70.7581,85.87,26,0,10.16,1611948374,CL
olafsvik,64.8945,-23.7142,33.39,92,100,2.3,1611948375,IS
poum,-20.2333,164.0167,78.85,77,53,15.17,1611948377,NC
broken hill,-31.95,141.4333,68,64,0,16.11,1611948378,AU
beloha,-25.1667,45.05,79.14,78,48,11.97,1611948379,MG
novo aripuana,-5.1206,-60.3797,88.68,60,5,3.83,1611948380,BR
rincon,32.296,-81.2354,53.19,35,1,4.61,1611948381,US
lagoa,39.05,-27.9833,59.05,74,0,15.64,1611948271,PT
dhidhdhoo,6.8833,73.1,80.91,69,45,8.5,1611948383,MV
karatsu,33.4425,129.9697,30.06,74,2,3.44,1611948385,JP
saint george,37.1041,-113.5841,42.55,87,90,8.05,1611948386,US
kysyl-syr,63.8986,122.7617,-47.9,75,100,3.56,1611948279,RU
pitkyaranta,61.5734,31.4792,27.57,99,100,9.04,1611948388,RU
la ronge,55.1001,-105.2842,8.6,78,100,5.75,1611948389,CA
port alfred,-33.5906,26.891,64.99,88,0,1.99,1611948390,ZA
tiksi,71.6872,128.8694,-31.09,85,100,5.21,1611948391,RU
qaanaaq,77.484,-69.3632,-14.57,59,0,4.68,1611948393,GL
chapais,49.7834,-74.8492,1.4,78,90,10.36,1611948394,CA
ati,13.2154,18.3353,78.12,16,0,14.41,1611948395,TD
pangnirtung,66.1451,-65.7125,-9.4,77,1,2.3,1611948396,CA
guangyuan,32.442,105.823,35.06,71,63,10,1611948397,CN
tabuk,17.4189,121.4443,64.18,90,98,7.83,1611948398,PH
leningradskiy,69.3833,178.4167,-24.88,83,87,8.41,1611948319,RU
half moon bay,37.4636,-122.4286,50.7,76,1,5.75,1611948109,US
yerofey pavlovich,53.9667,121.9667,-31.63,81,89,2.24,1611948402,RU
georgetown,5.4112,100.3354,77.5,78,20,3.44,1611948371,MY
nome,64.5011,-165.4064,-4.23,71,1,3.91,1611948267,US
te anau,-45.4167,167.7167,40.64,88,40,1.1,1611948321,NZ
thompson,55.7435,-97.8558,5,72,90,4.61,1611948406,CA
broome,42.2506,-75.833,14.14,62,90,13.8,1611948407,US
muros,42.7762,-9.0603,57.06,92,100,7,1611948409,ES
norman wells,65.282,-126.8329,-32.8,75,20,2.3,1611948278,CA
venado tuerto,-33.7456,-61.9688,80.62,40,27,4,1611948411,AR
kruisfontein,-34.0033,24.7314,64.99,75,0,1.99,1611948287,ZA
honiara,-9.4333,159.95,79,81,100,8.81,1611948413,SB
qujing,25.4833,103.7833,46,93,59,1.01,1611948414,CN
vestmannaeyjar,63.4427,-20.2734,39.2,70,90,9.22,1611948415,IS
aasiaat,68.7098,-52.8699,2.05,87,0,4.14,1611948417,GL
kedougou,12.5579,-12.1743,96.8,13,0,6.91,1611948418,SN
el tigre,8.8875,-64.2454,88.92,39,54,10.67,1611948419,VE
brooks,50.5834,-111.8851,10.78,79,50,2.3,1611948420,CA
bogande,12.9714,-0.1436,79.97,16,0,9.6,1611948421,BF
omboue,-1.5746,9.2618,78.1,88,100,7.38,1611948422,GA
xam nua,20.4197,104.0439,50.09,94,17,1.83,1611948423,LA
dunedin,-45.8742,170.5036,52,71,25,11.01,1611948311,NZ
talnakh,69.4865,88.3972,-33.48,70,0,0.69,1611948426,RU
khatanga,71.9667,102.5,-45.53,73,0,1.97,1611948427,RU
bathsheba,13.2167,-59.5167,82.4,65,20,16.11,1611948276,BB
castro,-24.7911,-50.0119,67.93,93,100,5.23,1611948429,BR
along,28.1667,94.7667,50.07,59,0,1.81,1611948430,IN
mahebourg,-20.4081,57.7,80.6,78,75,9.22,1611948431,MU
maniitsoq,65.4167,-52.9,23.22,77,0,5.37,1611948433,GL
vanimo,-2.6741,141.3028,77.88,85,100,7.02,1611948434,PG
codrington,-38.2667,141.9667,60.1,79,100,13.09,1611948435,AU
banjarmasin,-3.3244,114.591,73.4,100,75,1.63,1611948436,ID
kodinsk,58.6881,99.1844,-25.26,82,93,6.02,1611948438,RU
nhulunbuy,-12.2333,136.7667,80.6,89,55,8.05,1611948280,AU
grajau,-5.8194,-46.1386,85.33,67,100,6.04,1611948440,BR
milkovo,54.7167,158.6167,-4.25,91,100,0.43,1611948441,RU
omsukchan,62.5333,155.8,-27.11,82,100,5.14,1611948442,RU
mandasa,18.8667,84.4667,70.05,78,23,1.97,1611948444,IN
xinzhou,38.4092,112.7333,27.01,76,0,2.08,1611948445,CN
carupano,10.6678,-63.2585,80.35,67,27,10.92,1611948446,VE
tazovskiy,67.4667,78.7,-37.55,79,0,7.63,1611948447,RU
alofi,-19.0595,-169.9187,75.2,100,100,6.91,1611948448,NU
guerrero negro,27.9769,-114.0611,65.07,53,0,9.62,1611948449,MX
sao jose da coroa grande,-8.8978,-35.1478,80.89,76,100,11.63,1611948451,BR
anloga,5.7947,0.8973,82.4,83,40,9.22,1611948452,GH
rogatica,43.8008,19.0025,36.14,100,75,3.44,1611948453,BA
port lincoln,-34.7333,135.8667,62.65,71,100,13.13,1611948454,AU
tarko-sale,64.9225,77.785,-36.72,82,5,9.62,1611948455,RU
the valley,18.217,-63.0578,78.91,65,40,10.36,1611948456,AI
ust-omchug,61.15,149.6333,-28.34,80,92,5.21,1611948291,RU
lompoc,34.6391,-120.4579,48.38,93,75,5.75,1611948459,US
barrow,71.2906,-156.7887,-13,77,90,9.22,1611948269,US
ucluelet,48.9329,-125.5528,43.56,93,90,13.8,1611948461,CA
port hedland,-20.3167,118.5667,82.4,83,28,6.91,1611948462,AU
touros,-5.1989,-35.4608,86,58,20,12.66,1611948352,BR
calarasi,47.2544,28.3081,30.07,93,0,8.05,1611948465,MD
morros,-9.4467,-46.3003,87.64,48,97,3.38,1611948466,BR
fukuma,33.7667,130.4667,31.06,74,5,3.44,1611948467,JP
troitskoye,52.9821,84.6757,22.55,96,100,15.7,1611948468,RU
pontes e lacerda,-15.2261,-59.3353,85.68,63,6,6.46,1611948469,BR
twentynine palms,34.1356,-116.0542,51.24,46,75,18.41,1611948471,US
brae,60.3964,-1.353,33.8,80,0,8.05,1611948472,GB
vilhena,-12.7406,-60.1458,78.8,73,75,9.22,1611948322,BR
cayenne,4.9333,-52.3333,78.8,94,75,4.61,1611948474,GF
upernavik,72.7868,-56.1549,-8,81,97,12.1,1611948475,GL
aksarka,66.5606,67.7975,-43.55,80,21,2.35,1611948476,RU
vila franca do campo,37.7167,-25.4333,60.91,82,20,11.5,1611948477,PT
traverse city,44.7631,-85.6206,25.56,54,40,3.44,1611948300,US
xiongzhou,25.1167,114.3,49.62,48,2,0.98,1611948480,CN
oriximina,-1.7656,-55.8661,83.79,79,65,2.71,1611948257,BR
nishihara,26.1842,127.7558,53.91,58,75,5.75,1611948482,JP
nemuro,43.3236,145.575,28.33,99,100,15.28,1611948483,JP
dhuwaran,22.2333,72.8,62.91,27,73,8.88,1611948484,IN
boyolangu,-8.1181,111.8935,73.8,92,100,4.12,1611948376,ID
narsaq,60.9167,-46.05,44.6,29,75,24.16,1611948487,GL
coihaique,-45.5752,-72.0662,60.8,41,20,9.22,1611948488,CL
mujiayingzi,42.1167,118.7833,5.83,88,62,3.24,1611948489,CN
krasnoselkup,65.7,82.4667,-30.21,81,41,7.18,1611948490,RU
jalu,29.0331,21.5482,53.44,76,0,3.91,1611948491,LY
goderich,43.7501,-81.7165,23,68,100,19.57,1611948377,CA
sakakah,29.9697,40.2064,53.6,43,68,19.57,1611948493,SA
sisimiut,66.9395,-53.6735,10.13,73,0,9.26,1611948495,GL
bethel,41.3712,-73.414,17.55,49,20,13.8,1611948363,US
faanui,-16.4833,-151.75,81.21,67,100,8.32,1611948497,PF
ribeira grande,38.5167,-28.7,62.6,72,20,11.5,1611948312,PT
hornepayne,49.2138,-84.7705,6.84,93,100,6.11,1611948500,CA
amberley,39.2048,-84.428,29.82,55,90,1.81,1611948501,US
comodoro rivadavia,-45.8667,-67.5,62.6,42,40,13.8,1611948341,AR
teya,60.3778,92.6267,-27.63,81,100,5.68,1611948504,RU
nampula,-15.1165,39.2666,80.6,78,75,6.91,1611948505,MZ
yulara,-25.2406,130.9889,78.8,65,100,12.66,1611948506,AU
beyneu,45.3167,55.2,39.94,85,100,8.72,1611948507,KZ
mangaratiba,-22.9597,-44.0406,89.6,48,20,11.5,1611948264,BR
kenai,60.5544,-151.2583,9.88,85,90,8.28,1611948510,US
kobelyaky,49.1489,34.1965,29.53,96,94,11.86,1611948511,UA
lacey,47.0343,-122.8232,40.62,93,90,8.05,1611948218,US
provideniya,64.3833,-173.3,-9.15,82,85,9.1,1611948513,RU
valparaiso,-33.0393,-71.6273,71.1,56,0,9.22,1611948445,CL
grants pass,42.439,-123.3284,39.36,87,90,2.01,1611948515,US
launceston,-41.45,147.1667,62.19,94,90,9.22,1611948281,AU
buta,2.7858,24.73,76.44,70,11,1.52,1611948518,CD
hasaki,35.7333,140.8333,32,51,20,10.36,1611948288,JP
hamilton,39.1834,-84.5333,30.29,55,90,0.83,1611948519,US
calabozo,8.9242,-67.4293,95.58,28,39,7.92,1611948521,VE
makinsk,52.6292,70.4169,14.41,94,9,8.63,1611948522,KZ
pansoy,13.1825,122.5989,73.74,84,21,26.19,1611948523,PH
talmenka,53.8183,83.5677,21.2,86,75,20.13,1611948265,RU
palmer,42.1584,-72.3287,15.64,41,20,21.85,1611948351,US
cedar city,37.6775,-113.0619,35.6,87,90,16.11,1611948333,US
palasbari,26.1361,91.5486,57.2,88,40,3.44,1611948528,IN
freetown,8.484,-13.2299,79.56,74,0,8.39,1611948436,SL
diamantino,-14.4086,-56.4461,84.36,62,80,3.4,1611948530,BR
lincoln,40.8,-96.667,36.46,75,1,9.22,1611948205,US
katherine,-14.4667,132.2667,78.8,83,100,3.44,1611948532,AU
sande,53.5049,8.0142,30.11,65,100,1.99,1611948534,DE
rodgau,50.0263,8.8859,45.05,83,100,9.31,1611948535,DE
naze,28.3667,129.4833,49.1,75,42,13.82,1611948536,JP
itarema,-2.9248,-39.9167,83.44,68,100,15.93,1611948537,BR
keti bandar,24.1447,67.4497,63.99,65,0,8.52,1611948538,PK
rongcheng,30.634,117.8517,42.58,64,81,2.8,1611948539,CN
buraydah,26.326,43.975,62.6,39,0,10.36,1611948541,SA
shingu,33.7333,135.9833,34.16,83,0,8.14,1611948542,JP
hyderabad,17.3753,78.4744,71.46,94,52,4.61,1611948336,IN
nioaque,-21.1353,-55.83,81.3,70,56,10.45,1611948544,BR
dossor,47.5272,52.9811,33.62,90,91,9.01,1611948545,KZ
batticaloa,7.7102,81.6924,75.2,92,100,8.79,1611948546,LK
flagstaff,35.1981,-111.6513,36.37,60,75,20.71,1611948547,US
tiarei,-17.5333,-149.3333,84.09,65,40,12.66,1611948548,PF
etchoropo,26.7667,-109.6667,73.99,58,100,5.82,1611948550,MX
awbari,26.5921,12.7805,55.76,44,0,5.75,1611948551,LY
eureka,40.8021,-124.1637,49.35,87,1,4.61,1611948552,US
tezu,27.9167,96.1667,60.84,31,28,4.12,1611948553,IN
carauari,-4.8828,-66.8958,87.39,64,92,0.47,1611948554,BR
lorengau,-2.0226,147.2712,82.27,78,92,9.19,1611948555,PG
khash,28.2211,61.2158,48.96,35,0,3.67,1611948557,IR
bonga,7.2833,36.2333,65.53,56,1,1.16,1611948558,ET
seydisehir,37.4193,31.8453,26.83,83,0,2.42,1611948559,TR
haines junction,60.7522,-137.5108,-11.2,77,100,1.54,1611948560,CA
saldanha,-33.0117,17.9442,65.19,89,0,12.17,1611948561,ZA
ossora,59.2353,163.0719,-4.5,86,4,6.8,1611948562,RU
avarua,-21.2078,-159.775,82.4,74,20,9.22,1611948564,CK
allapalli,19.4167,80.0667,70.45,66,29,3.49,1611948565,IN
saint-pierre,-21.3393,55.4781,76.12,69,0,4.61,1611948302,RE
kavaratti,10.5669,72.642,80.51,73,1,9.42,1611948567,IN
izvestkovyy,48.9833,131.55,-22.68,82,0,3.11,1611948568,RU
goya,-29.14,-59.2626,98.29,32,8,0.69,1611948569,AR
nisia floresta,-6.0911,-35.2086,85.06,65,20,17.27,1611948570,BR
acopiara,-6.0953,-39.4525,86.13,52,100,3.76,1611948303,BR
khao wong,16.7001,104.0902,61.14,81,25,7.9,1611948573,TH
oranjestad,12.524,-70.027,84.2,65,40,18.41,1611948566,AW
corinth,37.9407,22.9573,50,65,1,1.01,1611948575,GR
sobolevo,54.4299,31.8996,22.37,97,100,11.52,1611948577,RU
paamiut,61.994,-49.6678,35.13,79,83,8.59,1611948284,GL
fort-shevchenko,44.5086,50.263,35.98,83,3,12.37,1611948579,KZ
aneho,6.2333,1.6,82.4,83,40,9.22,1611948580,TG
basco,20.4487,121.9702,68.18,73,98,24.65,1611948582,PH
severo-kurilsk,50.6789,156.125,20.44,93,100,18.19,1611948583,RU
kiama,-34.6833,150.8667,70.09,95,100,8.99,1611948584,AU
aden,12.7794,45.0367,74.8,74,0,12.33,1611948585,YE
candido mendes,-1.4467,-45.7167,86,62,97,9.26,1611948586,BR
juneau,58.3019,-134.4197,22.28,74,90,5.59,1611948587,US
ingham,42.6,-84.3833,23.94,58,1,3.94,1611948589,US
northam,51.0333,-4.2167,45.97,94,100,3,1611948590,GB
biak,-0.9131,122.8766,76.06,73,100,4.23,1611948591,ID
anadyr,64.75,177.4833,-20.09,76,0,6.71,1611948592,RU
yokadouma,3.5167,15.05,78.64,45,64,2.3,1611948593,CM
svetlogorsk,52.6333,29.7333,22.41,97,99,11.59,1611948594,BY
letterkenny,54.95,-7.7333,42.8,75,75,9.22,1611948595,IE
loreto,22.2667,-101.9667,64.92,36,90,1.32,1611948596,MX
puerto narino,-3.7703,-70.3831,73.4,100,75,6.91,1611948374,CO
pangai,-19.8,-174.35,80.6,83,90,9.22,1611948599,TO
alice springs,-23.7,133.8833,76.75,88,90,6.91,1611948524,AU
kitimat,54.0524,-128.6534,19,84,100,4.81,1611948524,CA
tel aviv-yafo,32.0805,34.7805,53.2,76,40,5.75,1611948602,IL
shimoda,34.6667,138.95,30,65,0,17.67,1611948603,JP
kununurra,-15.7667,128.7333,78.8,100,75,8.05,1611948357,AU
pevek,69.7008,170.3133,-28.82,85,5,2.82,1611948606,RU
victor harbor,-35.5667,138.6167,64,75,100,1.99,1611948607,AU
olden,61.8364,6.8064,30.2,86,75,3.44,1611948608,NO
ranong,9.9658,98.6348,75.2,86,100,4.7,1611948609,TH
samarina,57.8878,27.8054,30.2,93,90,2.24,1611948611,RU
hirara,24.8,125.2833,59.92,66,89,17.27,1611948612,JP
lebu,-37.6167,-73.65,59.23,95,95,2.86,1611948613,CL
vuktyl,63.8567,57.3094,-6.59,88,100,7.36,1611948615,RU
aplahoue,6.9333,1.6833,80.35,76,87,9.33,1611948616,BJ
moron,-34.6534,-58.6198,84.92,44,22,4,1611948617,AR
toktogul,41.8708,72.9402,24.46,62,0,1.63,1611948618,KG
port augusta,-32.5,137.7667,62.87,73,90,12.66,1611948619,AU
cao bang,22.6667,106.25,54.41,88,0,2.19,1611948620,VN
damghan,36.1683,54.348,44.8,54,97,2.15,1611948622,IR
sangar,63.9242,127.4739,-50.85,75,100,0.25,1611948623,RU
walvis bay,-22.9575,14.5053,65.61,77,100,8.05,1611948624,NA
turukhansk,65.8167,87.9833,-29.45,78,100,4.83,1611948625,RU
sechelt,49.4664,-123.7694,43.39,86,75,1.01,1611948627,CA
elat,29.5581,34.9482,59,41,0,6.91,1611948330,IL
ulladulla,-35.35,150.4667,67.05,100,90,2.3,1611948629,AU
faya,18.3851,42.4509,57.18,76,0,4.61,1611948336,SA
hoquiam,46.9809,-123.8893,40.71,87,40,11.5,1611948631,US
yerbogachen,61.2767,108.0108,-44.23,78,44,5.41,1611948633,RU
chernyshevskiy,63.0128,112.4714,-44.43,81,89,3.31,1611948634,RU
mahibadhoo,3.7833,72.9667,80.55,78,4,16.51,1611948635,MV
jinan,36.6683,116.9972,37.17,62,0,3.4,1611948636,CN
altus,34.6381,-99.334,52.99,50,1,12.66,1611948378,US
svobodnyy,51.4,128.1333,-30.03,81,75,5.91,1611948639,RU
charleston,32.7766,-79.9309,47.89,31,1,6.91,1611948480,US
ascope,-7.7144,-79.1078,71.6,83,20,10.36,1611948641,PE
kot diji,27.3427,68.7083,53.6,76,0,2.39,1611948642,PK
bacalan,11.5464,122.0849,75.9,83,100,15.97,1611948643,PH
souillac,-20.5167,57.5167,80.6,78,75,9.22,1611948645,MU
orda,57.1951,56.9091,23.52,94,100,9.73,1611948646,RU
sonoita,31.85,-112.8333,60.01,57,68,11.99,1611948647,MX
ahuimanu,21.4447,-157.8378,71.08,64,90,17.27,1611948349,US
madera,37.1666,-119.8343,42.8,93,64,4,1611948649,US
awjilah,29.1081,21.2869,56.35,67,0,7.78,1611948651,LY
kochubey,44.3861,46.5825,39.02,74,88,7.83,1611948652,RU
petropavlovsk-kamchatskiy,53.0452,158.6483,1.4,85,100,6.71,1611948653,RU
sungaipenuh,-2.0833,101.3833,64.08,96,100,2.86,1611948434,ID
wawa,9.9022,4.4192,83.52,15,15,3.49,1611948656,NG
mansa,29.9833,75.3833,46.02,52,0,3.18,1611948657,IN
kataysk,56.289,62.5841,7.72,94,100,8.93,1611948658,RU
sault sainte marie,46.5168,-84.3333,21.2,68,90,8.05,1611948659,CA
dingle,10.9995,122.6711,73.83,89,95,11.9,1611948660,PH
ancud,-41.8697,-73.8203,61.41,52,0,9.22,1611948662,CL
skibbereen,51.55,-9.2667,44.6,100,75,10.36,1611948663,IE
gravdal,68.1214,13.5031,23,68,40,4.61,1611948664,NO
mocuba,-16.8392,36.9856,74.95,97,100,3.27,1611948665,MZ
beringovskiy,63.05,179.3167,-14.48,87,26,10.09,1611948666,RU
bubaque,11.2833,-15.8333,78.69,72,0,15.66,1611948667,GW
ilulissat,69.2167,-51.1,1.4,55,20,8.05,1611948668,GL
hofn,64.2539,-15.2082,26.6,74,0,3.44,1611948670,IS
